name,address,suburb,category,seating_type,seats,latitude,longitude,census_year
The Big Mama,"Unit 1, Part Ground , 466 Swanston Street CARLTON 3053",Carlton,Cafes and Restaurants,outdoor,6,-37.8060084,144.963330033,2019
Woodside Green,87 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,indoor,18,-37.80486182,144.964446119,2019
Mr Bello,"Ground , 55 Cardigan Street CARLTON 3053",Carlton,Cafes and Restaurants,outdoor,12,-37.80543863,144.964279087,2019
Cafe Innov-8,31 Melrose Street NORTH MELBOURNE 3051,North Melbourne,Cafes and Restaurants,indoor,18,-37.79501722,144.941402709,2019
Souperman,Part 47-51 Boundary Road NORTH MELBOURNE 3051,North Melbourne,Catering Services,indoor,17,-37.79407351,144.938711526,2019
64 Sutton,"Part Ground , 64 Sutton Street NORTH MELBOURNE 3051",North Melbourne,Cafes and Restaurants,indoor,150,-37.7916558,144.937872014,2019
Sea On Quay,"Unit 13, Part Ground , 60 Siddeley Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,24,-37.82290353,144.952548578,2019
Bababoi,"Unit 16, Ground , 60 Siddeley Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,16,-37.82290353,144.952548578,2019
Cafe Bourgeois,"Lobby , 380 Docklands Drive DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,50,-37.81308483,144.941196711,2019
Humble Cafe,"Part Level 9, 271-0 Docklands Drive DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,25,-37.81284814,144.941909206,2019
The Coffee Club Waterfront City,"Ground , 3 Star Circus DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,100,-37.81317061,144.93785733,2019
The Groove Train,"Level 1, 3-5 Star Circus DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,60,-37.81317061,144.93785733,2019
Nando'S,"Ground , 1 Star Circus DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,50,-37.81317061,144.93785733,2019
Gozleme King,7 Star Crescent DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,30,-37.81317061,144.93785733,2019
Billy'S District,"Ground , 37 Star Crescent DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,12,-37.81317061,144.93785733,2019
Billy'S District,"Ground , 37 Star Crescent DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,76,-37.81317061,144.93785733,2019
Sakura Sushi Bar,"Ground , 6A Docklands Drive DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,8,-37.81317061,144.93785733,2019
Replay Cafe,5 Docklands Drive DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,32,-37.81427742,144.940199439,2019
Almina,106 Docklands Drive DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,220,-37.81518961,144.93905574,2019
The Conder Restaurant,8-10 Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,130,-37.81389092,144.943683752,2019
Cargo Cafe & Bar,55A Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,80,-37.81534111,144.941405128,2019
Cargo Cafe & Bar,55A Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,50,-37.81534111,144.941405128,2019
Berth Restaurant,"Restaurant 1, 45 Newquay Promenade DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,80,-37.81515588,144.941842125,2019
Steakhouse 66,66 Caravel Lane DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,100,-37.8149263,144.940659357,2019
Solidaire Victoria,28 Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,120,-37.81434525,144.942139052,2019
Achelya,23 Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,120,-37.81434525,144.942139052,2019
Renzo'S Bar Cafe Italiano,"Tenancy 7, 46 Rakaia Way DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,90,-37.81460533,144.94126142,2019
Billy Barista,861 Collins Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,6,-37.82059451,144.942505863,2019
Sushi Bay In Docklands,"Tenancy 7, Ground , 850 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,26,-37.82092961,144.944532767,2019
Burger Edge,"Tenancy 8, Gnd & Mezz , 850 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,60,-37.82092961,144.944532767,2019
Little Bean Dockside,"Tenancy 9, Ground , 850 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,75,-37.82092961,144.944532767,2019
Cafernatics Forte,809 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,31,-37.81970479,144.945066137,2019
O-Bento,"Shop 8, 838 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,26,-37.82100104,144.945046856,2019
O-Bento,"Shop 8, 838 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,78,-37.82100104,144.945046856,2019
Street Kitchen Co,"Shop 3, Ground , 800 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,57,-37.821044,144.945830478,2019
Street Kitchen Co,"Shop 3, Ground , 800 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,52,-37.821044,144.945830478,2019
365 Foodstore Docklands,"Shop 13, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,32,-37.82205878,144.94576457,2019
In A Rush 833 Collins Street,"Shop 11, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,30,-37.82205878,144.94576457,2019
In A Rush 833 Collins Street,"Shop 11, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,45,-37.82205878,144.94576457,2019
Elements Cafe,"Shop 18, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,68,-37.82205878,144.94576457,2019
Rhumba'S At Anz,"Shop 17, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,101,-37.82205878,144.94576457,2019
The Groove Train,"Shop 8, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,60,-37.82205878,144.94576457,2019
Shinsei Fish & Sushi Bar,"Kiosk 1, 67 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,72,-37.82044558,144.943459934,2019
Merchant Society,71 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,25,-37.82044558,144.943459934,2019
Merchant Society,71 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,70,-37.82044558,144.943459934,2019
Woolshed Pub,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",Docklands,"Pubs, Taverns and Bars",outdoor,300,-37.8165193,144.94356542,2019
Squires Loft Dockland,"Shop 1, 818 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,34,-37.81927362,144.943968999,2019
Southern China Style Cuisine,"Shop 2, 818 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,44,-37.81927362,144.943968999,2019
Docklands Pizzaria,42-407 Docklands Drive DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,30,-37.81427742,144.940199439,2019
Blended Beard,"Shop 9, 818-828 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,30,-37.81927362,144.943968999,2019
Squires Loft Dockland,"Shop 1, 818 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,102,-37.81927362,144.943968999,2019
Vintam'S Bakery,107-109 Victoria Harbour Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,65,-37.81938143,144.942988838,2019
Watermark Docklands,"Shop 9, 800 Bourke Street DOCKLANDS 3008",Docklands,"Pubs, Taverns and Bars",outdoor,100,-37.81888389,144.945122428,2019
Sushi Wang,"Tenancy 3, Part 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,45,-37.81888389,144.945122428,2019
Rhumba'S At Nab,"Shop 4, 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,38,-37.81888389,144.945122428,2019
In A Rush 800,"Tenancy 3, Part 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,56,-37.81888389,144.945122428,2019
Black Cod,"Shop 7, 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,80,-37.81888389,144.945122428,2019
Banc Cafe,"Tenancy 2, 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,80,-37.81888389,144.945122428,2019
Cafe La Kiss,1 Harbour Esplanade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,60,-37.82183078,144.948472471,2019
Sushi & Nori,"Tenancy 42, LwrGround 0, 18-0 Batmans Hill Drive DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,24,-37.82131457,144.949832514,2019
Subway,38 Collins Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,24,-37.82089145,144.949434482,2019
De Mad Hatter,46 Collins Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,93,-37.82089145,144.949434482,2019
Mr Collins,"Tenancy 12, 747 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,24,-37.82089145,144.949434482,2019
Long Shot,"Tenancy 44, Ground , 727 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,50,-37.82068417,144.950091316,2019
Humble Heroes,5 Collins Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,26,-37.82100104,144.945046856,2019
Platform 28,82 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,370,-37.81921016,144.949821295,2019
Love Peace Espresso,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,52,-37.81914692,144.948951868,2019
11 Inch Pizzeria Docklands,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,30,-37.81914692,144.948951868,2019
11 Inch Pizzeria Docklands,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,40,-37.81914692,144.948951868,2019
Nine Elephants Thai Restaurant,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,10,-37.81914692,144.948951868,2019
Shinsei Rice & Sushi Bar,"Level 2, 750 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,72,-37.81999404,144.949273605,2019
Gokotta Kaffe,1 McCrae Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,36,-37.82153058,144.950801175,2019
Nawab'S Palace Dine In,20 Waterview Walk DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,50,-37.81925128,144.947975346,2019
Gozleme Place,"Unit 3, 22 Waterview Walk DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,30,-37.81925128,144.947975346,2019
De Asian Flavours,2A Waterview Walk DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,24,-37.81925128,144.947975346,2019
Salud Espresso Bar,"Shop 10, Ground , 720 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,35,-37.8179209,144.949017584,2019
De Gusto,768B Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,12,-37.81817241,144.947217028,2019
Espresso Alto,744 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,22,-37.81817241,144.947217028,2019
Katsu House,744 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,8,-37.81817241,144.947217028,2019
Koi Koi,"Shop 13, Level 4, 744 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,30,-37.81817241,144.947217028,2019
Blended Beard,"Shop 9, 818-828 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,30,-37.81927362,144.943968999,2019
Nando'S,"Shop 1, Level 4, 750 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,110,-37.81817241,144.947217028,2019
Pizzarium,"Shop 10, Level 4, 744 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,20,-37.81817241,144.947217028,2019
The Medallion Club,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,950,-37.81656592,144.947577649,2019
Arena View Restaurant And Cafe,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,2640,-37.81656592,144.947577649,2019
O-Bento,"Shop 2, Ground , 990 La Trobe Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,16,-37.81384278,144.946761682,2019
Coffee N' All Customs House,"Part Ground , 1010 La Trobe Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,80,-37.81453858,144.945340225,2019
Coffee N' All Customs House,"Part Ground , 1010 La Trobe Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,36,-37.81453858,144.945340225,2019
Cafe 198,"Unit 2, 198 Harbour Esplanade DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,8,-37.81396231,144.944961224,2019
Cafe 198,"Unit 2, 198 Harbour Esplanade DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,12,-37.81396231,144.944961224,2019
Theobroma Chocolate Lounge,"Shop 219, Level 1, 201 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,46,-37.81501701,144.951186974,2019
Pasquale,"Kiosk 1, Level 1, 201-261 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,16,-37.81501701,144.951186974,2019
Hungry Jacks,"Ground , 167 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,52,-37.81501701,144.951186974,2019
Hanger Cafe Spencer Street,"Shop 214, Level 1, 201 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,98,-37.81501701,144.951186974,2019
Degani @ Southern Cross Station,"Shop , Ground , 163 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,45,-37.81501701,144.951186974,2019
Coffee Rush,"Shop 310, Ground , 229 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,16,-37.81501701,144.951186974,2019
Platform 28,82 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,90,-37.81921016,144.949821295,2019
Mad Mex,"Shop 7, Level 1, 650 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,38,-37.81815358,144.952339303,2019
Hungry Jack'S,"Shop 14, Level 1, 650 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,100,-37.81815358,144.952339303,2019
Hunger Game,"Shop 3, Ground , 650 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,26,-37.81815358,144.952339303,2019
Code 3,"Shop 1, 313 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,66,-37.81379938,144.950998076,2019
State Netball & Hockey Centre Cafe,Part 10 Brens Drive PARKVILLE 3052,Parkville,Cafes and Restaurants,indoor,51,-37.78541878,144.947632058,2019
Shuji Sushi,"Tenancy , Ground , 50 Flemington Road PARKVILLE 3052",Parkville,Cafes and Restaurants,indoor,32,-37.79372054,144.949547052,2019
Parkville Cafe,"Tenancy , Ground , 50 Flemington Road PARKVILLE 3052",Parkville,Cafes and Restaurants,indoor,244,-37.79372054,144.949547052,2019
Degani Bakery Cafe,"Tenancy , Ground , 50 Flemington Road PARKVILLE 3052",Parkville,Cafes and Restaurants,indoor,45,-37.79372054,144.949547052,2019
Isabella,"Shop 1, 20 Flemington Road PARKVILLE 3050",Parkville,Cafes and Restaurants,indoor,80,-37.79885182,144.955040425,2019
Hudsons Coffee Melbourne Private,1F Grattan Street PARKVILLE 3050,Parkville,Cafes and Restaurants,indoor,8,-37.79854141,144.955962812,2019
Sargon Food And Co Cafe,327-327 Grattan Street MELBOURNE 3000,Parkville,Cafes and Restaurants,outdoor,10,-37.80009421,144.956578468,2019
Naughtons Parkville Hotel,43-49 Royal Parade PARKVILLE 3052,Parkville,"Pubs, Taverns and Bars",outdoor,40,-37.79554181,144.957534528,2019
Parkside,"Part Ground , 369 Royal Parade PARKVILLE 3052",Parkville,Cafes and Restaurants,indoor,60,-37.7849288,144.958562619,2019
Koi Koi,"Shop 13, Level 4, 744 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,20,-37.81817241,144.947217028,2019
Mesh/Tonic Bar,Part Ground 40-56 Queens Bridge Street SOUTHBANK VIC 3006,Southbank,Cafes and Restaurants,indoor,350,-37.82385364,144.959776722,2019
Mesh/Tonic Bar,Part Ground 40-56 Queens Bridge Street SOUTHBANK VIC 3006,Southbank,Cafes and Restaurants,outdoor,16,-37.82385364,144.959776722,2019
Coffee Rush,"Shop 310, Ground , 229 Spencer Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,13,-37.81501701,144.951186974,2019
Oporto,"Part Shop TB105, 20 Convention Centre Place SOUTH WHARF VIC 3006",Southbank,Cafes and Restaurants,indoor,32,-37.82539976,144.952378166,2019
Upstanding Citizens,Gnd Lvl Foyer 2 Southbank Boulevard SOUTHBANK VIC 3006,Southbank,Cafes and Restaurants,indoor,70,-37.82221927,144.962643015,2019
Pellaroma Cafe Bar,"Shop 2, 2 Freshwater Place SOUTHBANK VIC 3006",Southbank,Cafes and Restaurants,outdoor,16,-37.82221927,144.962643015,2019
Nashi,"Part Shop 17R, 3 Freshwater Place SOUTHBANK VIC 3006",Southbank,Cafes and Restaurants,outdoor,14,-37.82167834,144.962153976,2019
Nashi,"Part Shop 17R, 3 Freshwater Place SOUTHBANK VIC 3006",Southbank,Cafes and Restaurants,indoor,28,-37.82167834,144.962153976,2019
Pocket Cafe,29 Melrose Street NORTH MELBOURNE 3051,North Melbourne,Cafes and Restaurants,indoor,5,-37.79501722,144.941402709,2019
Pocket Cafe,29 Melrose Street NORTH MELBOURNE 3051,North Melbourne,Cafes and Restaurants,outdoor,12,-37.79501722,144.941402709,2019
Zahra Jabriye,"Unit 15, Ground , 60 Siddeley Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,24,-37.82290353,144.952548578,2019
Bababoi,"Unit 16, Ground , 60 Siddeley Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,28,-37.82290353,144.952548578,2019
Pud Thai Vs Pho,"Unit 14, Ground , 60 Siddeley Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,22,-37.82290353,144.952548578,2019
Sea On Quay,"Unit 13, Part Ground , 60 Siddeley Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,20,-37.82290353,144.952548578,2019
The Groove Train,"Level 1, 3-5 Star Circus DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,120,-37.81317061,144.93785733,2019
Le Cirque Fine Foods,29 Star Crescent DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,40,-37.81317061,144.93785733,2019
Gold Leaf Harbour View Restaurant Pty Ltd,"Level 1, 10-12 Star Crescent DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,260,-37.81317061,144.93785733,2019
Sakura Sushi Bar,"Ground , 6A Docklands Drive DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,56,-37.81317061,144.93785733,2019
Capri At The Quays Cafe,28 Harbour Esplanade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,70,-37.81354367,144.942989653,2019
All Smiles,55B Newquay Promenade DOCKLANDS 3008,Docklands,Catering Services,indoor,100,-37.81534111,144.941405128,2019
Berth Restaurant,"Restaurant 1, 45 Newquay Promenade DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,190,-37.81515588,144.941842125,2019
Steakhouse 66,66 Caravel Lane DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,50,-37.8149263,144.940659357,2019
B Club Cafe,43 Caravel Lane DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,20,-37.8149263,144.940659357,2019
Solidaire Victoria,28 Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,60,-37.81434525,144.942139052,2019
Oscar'S Table,"Tenancy 6, 50 Rakaia Way DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,40,-37.81460533,144.94126142,2019
Bhoj On Docklands,"Tenancy 4, 54 Rakaia Way DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,80,-37.81460533,144.94126142,2019
Billy Barista,861 Collins Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,16,-37.82059451,144.942505863,2019
The Coffee Club Waterfront City,"Ground , 3 Star Circus DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,50,-37.81317061,144.93785733,2019
Nando'S,"Ground , 1 Star Circus DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,35,-37.81317061,144.93785733,2019
Cafernatics Forte,809 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,14,-37.81970479,144.945066137,2019
Le-Nguyen Pho & Bakery Cafe,818-822 Collins Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,80,-37.82100104,144.945046856,2019
365 Foodstore Docklands,"Shop 13, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,48,-37.82205878,144.94576457,2019
Replay Cafe,5 Docklands Drive DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,3,-37.81427742,144.940199439,2019
Waterfront Seafood Hot Pot,82 Docklands Drive DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,16,-37.81518961,144.93905574,2019
Newquay Buffet And Bar,4-6 Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,130,-37.81389092,144.943683752,2019
Docklands Lotus Restaurant,Part 12-16 Newquay Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,125,-37.81389092,144.943683752,2019
Pok Pok,"Shop 7, 801 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,50,-37.81974585,144.945620869,2019
Tap 831,829 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,50,-37.82044558,144.943459934,2019
Smokestak,73A-843 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,12,-37.82044558,144.943459934,2019
Smokestak,73A-843 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,10,-37.82044558,144.943459934,2019
Indi Hots,831B Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,30,-37.82044558,144.943459934,2019
Tap 831,829 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,150,-37.82044558,144.943459934,2019
Delhi Belly,"Shop 8, 64 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,56,-37.82029136,144.944144712,2019
Mill & Bakery At Central Pier,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,15,-37.8165193,144.94356542,2019
Mama Rumaan,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,60,-37.8165193,144.94356542,2019
Woolshed Pub,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",Docklands,"Pubs, Taverns and Bars",indoor,444,-37.8165193,144.94356542,2019
Igg International Buffet And Bar,41-53 Victoria Harbour Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,100,-37.81938143,144.942988838,2019
Igg International Buffet And Bar,41-53 Victoria Harbour Promenade DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,660,-37.81938143,144.942988838,2019
Whitelion/Wheelly Good Coffee,"Part Ground , 107-117 Victoria Harbour Promenade DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,30,-37.82003426,144.940534552,2019
The Harbour Kitchen,"Tenancy 1, 800 Bourke Street DOCKLANDS 3008",Docklands,Catering Services,outdoor,100,-37.81888389,144.945122428,2019
The Groove Train,"Shop 8, 833 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,150,-37.82205878,144.94576457,2019
Caffe Bambino Docklands,1 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,16,-37.81993587,144.944683285,2019
Signature Pho Viet,813 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,50,-37.81993587,144.944683285,2019
Go Green Raw Foods,7 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,21,-37.81993587,144.944683285,2019
Mr Collins,"Tenancy 12, 747 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,35,-37.82089145,144.949434482,2019
Hudsons Coffee Collins Square,"Tenancy 14, LwrGround , 727 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,19,-37.82068417,144.950091316,2019
Nine Elephants Thai Restaurant,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,38,-37.81914692,144.948951868,2019
The Hof Downtown,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,202,-37.81914692,144.948951868,2019
Chiara,"Part Ground , 707 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,20,-37.82096797,144.951186212,2019
Chiara,"Part Ground , 707 Collins Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,80,-37.82096797,144.951186212,2019
Hangar,"Shop 22, Level 4, 717 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,42,-37.81864992,144.950258355,2019
Coffee Rush,"Shop 7, Ground , 717 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,46,-37.81864992,144.950258355,2019
Cafe Saporo @ Docklands,"Shop 5, Ground , 717 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,26,-37.81864992,144.950258355,2019
Cafe Saporo @ Docklands,"Shop 5, Ground , 717 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,60,-37.81864992,144.950258355,2019
Whoop Dee Doo Cafe,"Shop 24, Level 4, 717 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,indoor,112,-37.81864992,144.950258355,2019
The Harbour Kitchen,"Tenancy 1, 800 Bourke Street DOCKLANDS 3008",Docklands,Catering Services,indoor,200,-37.81888389,144.945122428,2019
Sushi Wang,"Tenancy 3, Part 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,16,-37.81888389,144.945122428,2019
Tataki Noodles & Dumplings,"Shop 8, 800 Bourke Street DOCKLANDS 3008",Docklands,Cafes and Restaurants,outdoor,64,-37.81888389,144.945122428,2019
Cafe La Kiss,1 Harbour Esplanade DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,24,-37.82183078,144.948472471,2019
Pizza Hut Docklands,57 Waterview Walk DOCKLANDS 3008,Docklands,Cafes and Restaurants,indoor,43,-37.81925128,144.947975346,2019
The Spice Dine,79-0 Bourke Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,outdoor,32,-37.81925128,144.947975346,2019
The Nixon Hotel,749 Bourke Street DOCKLANDS 3008,Docklands,"Pubs, Taverns and Bars",outdoor,16,-37.81925128,144.947975346,2019
The Nixon Hotel,749 Bourke Street DOCKLANDS 3008,Docklands,"Pubs, Taverns and Bars",indoor,116,-37.81925128,144.947975346,2019
